zone_code,event_count,mean_predicted_score,max_predicted_score,min_predicted_score,high_risk_event_count,medium_risk_event_count,low_risk_event_count,high_risk_event_ratio,mean_absolute_error,mean_rain_24h_mm,max_rain_24h_mm,mean_gpm_precipitation_sum,mean_built_surface_mean,mean_population_sum,dominant_risk_class
NSR-GRID-144,30,0.592000356408053,0.9308993708102078,0.4711865760681077,7,23,0,0.23333333333333334,0.004917725835470401,10.506666666666668,44.9,0.0,4577.472345835982,0.0,medium
NSR-GRID-145,30,0.5031055069889722,0.8413784620945712,0.3822009666217011,5,25,0,0.16666666666666666,0.004568440830580608,10.506666666666668,44.9,0.0,3378.190082644627,0.0,medium
NSR-GRID-146,30,0.4964160822286151,0.8376953353158842,0.3736031541566099,5,25,0,0.16666666666666666,0.004237311460761394,10.506666666666668,44.9,0.0,3617.1388005933445,0.0,medium
NSR-GRID-147,30,0.5013752415340634,0.8428896201354277,0.3782047236994251,5,25,0,0.16666666666666666,0.00444789116089027,10.506666666666668,44.9,0.0,3675.006144067797,0.0,medium
NSR-GRID-148,30,0.4461667641582992,0.7872159439476833,0.3237204160473989,4,16,10,0.13333333333333333,0.004146819124846473,10.506666666666668,44.9,0.0,2847.14004237288,0.0,medium
NSR-GRID-149,30,0.532554741095421,0.8728942545183024,0.4109452032694015,5,25,0,0.16666666666666666,0.004325517487481976,10.506666666666668,44.9,0.0,3922.670692943419,0.0,medium
NSR-GRID-150,30,0.42975444407200886,0.769729465186565,0.3077855172444559,4,16,10,0.13333333333333333,0.0048345040057423795,10.506666666666668,44.9,0.0,2353.9866497139215,0.0,medium
NSR-GRID-151,30,0.25060245292624267,0.59512124114479,0.1283848851947449,0,7,23,0.0,0.004946127989648692,10.506666666666668,44.9,0.0,98.27966976264184,0.0,low
NSR-GRID-152,30,0.4883053370594449,0.8307196642076325,0.3662047145295222,5,25,0,0.16666666666666666,0.003929229150544971,10.506666666666668,44.9,0.0,3402.1373546511622,0.0,medium
NSR-GRID-153,30,0.5751654109514936,0.9134806161395608,0.4556532658861288,6,24,0,0.2,0.005235342320065019,10.506666666666668,44.9,0.0,4276.5337043908485,0.0,medium
NSR-GRID-154,30,0.5543451078083453,0.894572688646295,0.4334635783027944,5,25,0,0.16666666666666666,0.004303324719505564,10.506666666666668,44.9,0.0,4292.994226804124,0.0,medium
NSR-GRID-155,30,0.5422924885915886,0.8832782900534016,0.4206899747005347,5,25,0,0.16666666666666666,0.003890196513230443,10.506666666666668,44.9,0.0,4367.681368507833,0.0,medium
NSR-GRID-156,30,0.5356747737364692,0.8772950517115379,0.4134118852007154,5,25,0,0.16666666666666666,0.003950159717260834,10.506666666666668,44.9,0.0,4114.499072356213,0.0,medium
